title,imdb_rating
Black Rose,2.5
Black Sea,6.4
Black Site Delta,3.8
Black Snake Moan,6.9
Blaze,6.6
Blessed Benefit,6.7
Blind Date,6.1
Blockbuster,3.5
Blood Father,6.4
Blood Money,6.9
Bloodline,3.3
Blow,7.6
Blue Jasmine,7.3
Blue Jay,4.7
Blue Mountain State: The Rise of Thadland,5.8
Blue Ruin,7.1
Blue Valentine,7.4
Bobby,7.1
Bobby Jasoos,5.5
Bodyguard,6.7
Boi,4.9
Bokeh,5.0
Bombairiya,4.5
Bombay Talkies,6.7
Bombshell,4.0
Bon Bini Holland,5.5
Bon Cop Bad Cop 2,6.6
Boom,2.3
Border Patrol,6.4
Borderline,6.2
Bordertown,6.1
Boss,4.3
Bosta,6.3
Bottom of the World,5.3
Boushkash,5.0
Boy Bye,5.4
Brain on Fire,6.6
Brampton's Own,5.3
Brave New Jersey,5.3
Break,3.7
Break Ke Baad,5.2
Breaking the Bank,4.8
Breakout,4.8
Breath,6.7
Bright,6.3
Broken,5.5
Brooklyn's Finest,6.7
Brother,8.0
Brother's Shadow,6.0
Brotherhood,6.4
Brothers,6.6
Bucket List,6.1
Budapest,6.0
Buddies,6.3
Budhia Singh: Born to Run,7.7
Buffalo Boys,5.8
Bulbbul,6.6
Bulbul Can Sing,6.8
Bullet Head,5.4
Bulletproof 2,3.5
Bullitt County,4.8
Bully,6.9
Burlesque,6.4
Burn Out,6.2
Burning Cane,5.5
Bushwick,5.2
Buster's Mal Heart,6.1
BuyBust,5.8
Bwakaw,7.0
By the Sea,5.3
Bypass Road,5.4
C Kkompany,5.4
Cézanne et moi,6.0
Cabin Fever,5.7
Cake,6.4
Calendar Girls,6.9
Calibre,6.8
Cam,5.9
Camera Store,5.6
Camp X-Ray,6.9
Can't Help Falling in Love,7.2
Canvas,4.4
Captive,4.5
Carbon,6.9
Cardboard Gangsters,6.4
Caregiver,6.4
Cargo,6.1
Carol,7.2
Carrie Pilby,6.6
Casa de mi Padre,5.5
Case 39,6.2
Casino Royale,8.0
Catching Feelings,5.6
Chaahat,5.6
Chal Mere Bhai,4.7
Chalte Chalte,6.6
Chaman Bahaar,7.0
Chamatkar,6.6
Chameli,7.0
Champions,6.5
Chance Pe Dance,4.7
Change in the Air,5.5
Charlie's Angels,5.5
Chashme Baddoor,5.4
Chashme Buddoor,8.0
Chauthi Koot,6.5
Cheese in the Trap,6.0
Chef,6.6
Chennai Express,6.0
Chhota Bheem and the Curse of Damyaan,5.8
Chief Daddy,5.0
Children of God,6.7
Children of the Sea,6.5
Chillar Party,7.4
Chippa,6.4
Chittagong,7.3
Chocolate,6.2
Chopsticks,6.5
Christian Mingle,4.3
Christine,6.9
Christmas in the Heartland,5.9
Christmas in the Smokies,5.9
Chronically Metropolitan,5.1
Chup Chup Ke,6.8
Chupan Chupai,5.8
Chupke Chupke,8.3
CIA: Comrade in America,6.5
Circle,3.3
Cities of Last Things,6.2
City of God,8.6
City of Tiny Lights,5.5
Class of '83,5.9
Class Rank,6.4
Click,3.5
Clinical,5.1
Close,5.7
Closed Circuit,6.2
Cloud Atlas,7.4
Cloverfield,7.0
Coach Carter,7.3
Code 8,6.1
Coffee & Kareem,5.1
Coffee with D,4.4
Cold Harbour,5.3
Collateral,7.5
Colonia,7.1
Community,4.2
Company,8.0
Compulsion,4.5
Concussion,5.7
Connected,6.6
Consequences,2.9
Conspiracy,5.4
Containment,4.9
Contract,4.1
Convict,5.3
Cook Off,6.0
Cop Car,6.3
Cops and Robbers,3.8
Counterpunch,4.9
Crash,6.4
Crashing,5.5
Crazy Awesome Teachers,6.1
Crazy Beautiful You,7.1
Creep,4.8
Creep 2,6.4
"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1
Cuckoo,3.7
Cuddle Weather,6.2
Curtiz,6.0
Cut Bank,6.1
Cycle,6.3
Déjà Vu,7.1
Dad's Army,7.0
Daddy Issues,4.1
Dallas Buyers Club,8.0
Dangal,8.4
Dangerous Lies,5.2
Danur: I Can See Ghosts,5.4
Darc,5.8
Dare to Be Wild,6.4
Dark,3.5
Dark Light,4.6
Dark Matter,6.0
Dark Places,3.3
Dark Waters,6.1
Darna Mana Hai,6.3
David Brent: Life on the Road,6.3
Day of the Dead: Bloodline,3.4
Daybreak,4.0
Dayveon,6.4
De Film van Dylan Haegens,4.3
Dead Kids,5.6
Deadcon,2.8
Deadline: Sirf 24 Ghante,6.3
Dear Dad,6.4
Dear Ex,7.3
Dear Santa,2.7
Dear White People,6.1
Dear Zindagi,7.6
Death House,4.2
Death Note,7.7
Deathgrip,6.3
Dedh Ishqiya,7.1
Deewana Main Deewana,2.4
Deewangee,6.6
Defiance,3.4
Delhi Belly,7.6
Deliha,4.5
Deliha 2,4.6
Delirium,5.4
Demonic,5.3
Desolate,4.8
Desolation,4.9
Desperados,6.5
Destiny,6.3
Detention,3.0
Detour,7.4
Deuces,4.0
Dev.D,8.0
Devil's Gate,5.1
Dhamaal,7.3
Dhan Dhana Dhan Goal,5.0
Dhanak,7.9
Dharam Sankat Mein,6.3
Dhobi Ghat (Mumbai Diaries),7.0
Dhoondte Reh Jaoge,5.6
Die Ontwaking,4.4
Dil,6.7
Dil Chahta Hai,8.1
Dil Dhadakne Do,6.9
Dil Hai Tumhaara,5.3
Dilan 1990,7.3
Dilan 1991,6.6
Dilwale,5.6
Disappearance,3.3
Disclosure,5.5
Disco Dancer,6.4
Disconnect,4.3
Dismissed,5.7
District 9,7.9
Divines,7.4
Django Unchained,8.4
Do Dooni Chaar,7.6
Dog Eat Dog,5.0
Dolemite Is My Name,7.3
Domino,3.7
Don,7.8
Don 2,7.1
Don Verdean,5.4
Don't Think Twice,6.7
Donnie Brasco,7.7
Doom,5.2
Dostana,6.7
